scene_id,symbol,contract,timeframe,timestamp,engine_version,engine_direction,candidate_id,entry,stop,target,RR,manipulation_summary,sweep_information,mss_state,displacement_summary,fvg_summary,dealing_range,ce_location,premium_discount_state,pd_location,ce_distance,rr_realism,confirmation,fvg_location,execution_reasons,decision,engine,wrong_manipulation,wrong_sweep,wrong_mss,wrong_fvg,wrong_dealing_range_context,bad_location,insufficient_confirmation,execute_live,reason_for_pass,confidence,note
MNQ:MNQZ23:1H:2023-10-26T09:00:00-04:00,MNQ,MNQZ23,1H,2023-10-26T09:00:00-04:00,db80c31:fdecea0d00e4,LONG,SETUP:FVG234U,14311.12,14297.50,14790.25,35.17,bullish sweep of 14302.25,raid→14297.50 close 14309.00 (pool 14302.25),confirmed bullish @ 14330.50,bullish net 69.75 / 4 bars (exhausted),bullish touched 14310.75–14311.50 CE 14311.12 [1H],1H 14257.25–14330.50 (down),14293.88,premium,0.0000,0.5290,0.0000,0.8519,0.6405,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.0),,,,,,,,,,,,,
MNQ:MNQH24:1H:2024-02-21T16:00:00-05:00,MNQ,MNQH24,1H,2024-02-21T16:00:00-05:00,db80c31:fdecea0d00e4,LONG,SETUP:FVG5084U@15m,17454.50,17448.50,17724.00,44.92,bullish sweep of 17452.50,raid→17448.50 close 17473.25 (pool 17452.50),confirmed bullish @ 17586.25,bullish net 77.25 / 1 bars (exhausted),bullish touched 17424.25–17484.75 CE 17454.50 [15m],1H 17373.00–17525.75 (down),17449.38,premium,0.0000,0.9329,0.0000,0.8209,0.4200,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.0) | low-quality entry FVG (fvg_location=0.42),,,,,,,,,,,,,
MNQ:MNQM21:1H:2021-04-14T11:00:00-04:00,MNQ,MNQM21,1H,2021-04-14T11:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG2460D@15m,13978.62,13987.00,13772.50,24.61,bearish sweep of 13985.75,raid→13987.00 close 13982.75 (pool 13985.75),confirmed bearish @ 13958.25,bearish net 26.00 / 1 bars (exhausted),bearish unfilled 13975.00–13982.25 CE 13978.62 [15m],1H 13958.25–14029.00 (up),13993.62,discount,0.0000,0.5760,0.3079,0.8141,0.8951,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.3079),,,,,,,,,,,,,
MES:MESM22:1H:2022-04-26T04:00:00-04:00,MES,MESM22,1H,2022-04-26T04:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG237D,4293.75,4297.75,4195.25,24.62,bearish sweep of 4296.50,raid→4297.75 close 4292.50 (pool 4296.50),confirmed bearish @ 4287.50,bearish net 29.75 / 6 bars (exhausted),bearish unfilled 4293.00–4294.50 CE 4293.75 [1H],1H 4287.50–4303.75 (up),4295.62,discount,0.0000,0.7692,0.3075,0.8615,0.9154,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.3075),,,,,,,,,,,,,
MNQ:MNQZ22:1H:2022-11-17T09:00:00-05:00,MNQ,MNQZ22,1H,2022-11-17T09:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG233D,11780.75,11822.50,10809.00,23.28,bearish sweep of 11805.00,raid→11822.50 close 11802.75 (pool 11805.00),confirmed bearish @ 11743.00,bearish net 294.50 / 7 bars,bearish unfilled 11778.75–11782.75 CE 11780.75 [1H],1H 11743.00–11828.25 (up),11785.62,discount,0.0000,0.8856,0.3633,0.8142,0.9938,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.3633),,,,,,,,,,,,,
MES:MESZ20:1H:2020-10-19T13:00:00-04:00,MES,MESZ20,1H,2020-10-19T13:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG2583D@15m,3484.50,3488.00,3431.50,15.14,bearish sweep of 3487.75,raid→3488.00 close 3486.25 (pool 3487.75),confirmed bearish @ 3461.25,bearish net 5.00 / 1 bars (exhausted),bearish unfilled 3484.00–3485.00 CE 3484.50 [15m],1H 3483.00–3496.50 (up),3489.75,discount,0.0000,0.2222,0.7025,0.8148,0.9519,weak location — entry on the wrong premium/discount side (pd_location=0.0) | entry far from CE (deep into the imbalance) (ce_distance=0.2222),,,,,,,,,,,,,
MES:MESH21:1H:2021-01-08T05:00:00-05:00,MES,MESH21,1H,2021-01-08T05:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG237D,3809.50,3815.50,3747.25,10.38,bearish sweep of 3813.50,raid→3815.50 close 3812.50 (pool 3813.50),confirmed bearish @ 3806.75,bearish net 17.25 / 4 bars (exhausted),bearish touched 3807.50–3811.50 CE 3809.50 [1H],1H 3806.75–3817.75 (up),3812.25,discount,0.0000,0.5000,0.9008,0.9455,0.4200,weak location — entry on the wrong premium/discount side (pd_location=0.0) | low-quality entry FVG (fvg_location=0.42),,,,,,,,,,,,,
MES:MESZ20:1H:2020-09-30T00:00:00-04:00,MES,MESZ20,1H,2020-09-30T00:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG237D,3333.50,3340.50,3206.25,18.18,bearish sweep of 3339.50,raid→3340.50 close 3334.75 (pool 3339.50),confirmed bearish @ 3324.00,bearish net 37.25 / 4 bars,bearish unfilled 3333.25–3333.75 CE 3333.50 [1H],1H 3324.00–3358.00 (up),3341.00,discount,0.0000,0.5588,0.5758,0.6735,0.9294,weak location — entry on the wrong premium/discount side (pd_location=0.0),,,,,,,,,,,,,
MNQ:MNQH22:1H:2022-01-11T10:00:00-05:00,MNQ,MNQH22,1H,2022-01-11T10:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG237D,15621.00,15646.50,15152.50,18.37,bearish sweep of 15642.50,raid→15646.50 close 15611.25 (pool 15642.50),confirmed bearish @ 15564.25,bearish net 172.00 / 6 bars (exhausted),bearish touched 15599.50–15642.50 CE 15621.00 [1H],1H 15564.25–15736.50 (up),15650.38,discount,0.0000,0.6589,0.5679,0.8186,0.4200,weak location — entry on the wrong premium/discount side (pd_location=0.0) | low-quality entry FVG (fvg_location=0.42),,,,,,,,,,,,,
MNQ:MNQZ22:1H:2022-10-07T12:00:00-04:00,MNQ,MNQZ22,1H,2022-10-07T12:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG1776D@15m,11435.62,11577.00,10943.50,3.48,bearish sweep of 11563.75,raid→11577.00 close 11353.00 (pool 11563.75),confirmed bearish @ 11453.00,bearish net 455.75 / 4 bars,bearish unfilled 11373.25–11498.00 CE 11435.62 [15m],1H 11453.00–11577.00 (up),11515.00,discount,0.0000,0.0000,1.0000,0.7355,0.7000,weak location — entry on the wrong premium/discount side (pd_location=0.0) | entry far from CE (deep into the imbalance) (ce_distance=0.0),,,,,,,,,,,,,
MNQ:MNQZ21:1H:2021-11-22T11:00:00-05:00,MNQ,MNQZ21,1H,2021-11-22T11:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG4640D@15m,16602.25,16638.00,16406.75,5.47,bearish sweep of 16633.00,raid→16638.00 close 16626.00 (pool 16633.00),confirmed bearish @ 16606.25,bearish net 10.50 / 4 bars (exhausted),bearish unfilled 16601.50–16603.00 CE 16602.25 [15m],1H 16606.25–16649.00 (up),16627.62,discount,0.0000,0.0000,1.0000,0.8936,0.9702,weak location — entry on the wrong premium/discount side (pd_location=0.0) | entry far from CE (deep into the imbalance) (ce_distance=0.0),,,,,,,,,,,,,
MES:MESH22:1H:2022-02-25T11:00:00-05:00,MES,MESH22,1H,2022-02-25T11:00:00-05:00,db80c31:fdecea0d00e4,LONG,SETUP:FVG235U,4276.25,4244.50,4391.25,3.62,bullish sweep of 4251.25,raid→4244.50 close 4253.75 (pool 4251.25),confirmed bullish @ 4272.75,bullish net 73.50 / 6 bars (exhausted),bullish unfilled 4268.25–4284.25 CE 4276.25 [1H],1H 4227.75–4272.75 (down),4250.25,premium,0.0000,0.0000,1.0000,0.9200,0.7000,weak location — entry on the wrong premium/discount side (pd_location=0.0) | entry far from CE (deep into the imbalance) (ce_distance=0.0),,,,,,,,,,,,,
MES:MESH22:1H:2022-01-04T13:00:00-05:00,MES,MESH22,1H,2022-01-04T13:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG236D,4793.75,4808.25,4747.25,3.21,bearish sweep of 4807.25,raid→4808.25 close 4805.25 (pool 4807.25),confirmed bearish @ 4794.75,bearish net 35.25 / 2 bars (exhausted),bearish unfilled 4788.50–4799.00 CE 4793.75 [1H],1H 4794.75–4808.25 (up),4801.50,discount,0.0000,0.0000,1.0000,0.8593,0.7000,weak location — entry on the wrong premium/discount side (pd_location=0.0) | entry far from CE (deep into the imbalance) (ce_distance=0.0),,,,,,,,,,,,,
MES:MESZ22:1H:2022-10-07T12:00:00-04:00,MES,MESZ22,1H,2022-10-07T12:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG1776D@15m,3730.12,3776.00,3587.50,3.11,bearish sweep of 3762.75,raid→3776.00 close 3714.50 (pool 3762.75),confirmed bearish @ 3732.25,bearish net 105.50 / 2 bars (exhausted),bearish unfilled 3719.25–3741.00 CE 3730.12 [15m],1H 3732.25–3776.00 (up),3754.12,discount,0.0000,0.0000,1.0000,1.0000,0.7000,weak location — entry on the wrong premium/discount side (pd_location=0.0) | entry far from CE (deep into the imbalance) (ce_distance=0.0),,,,,,,,,,,,,
MES:MESU23:1H:2023-08-04T12:00:00-04:00,MES,MESU23,1H,2023-08-04T12:00:00-04:00,db80c31:fdecea0d00e4,LONG,SETUP:FVG235U,4532.12,4529.50,4583.50,19.57,bullish sweep of 4530.25,raid→4529.50 close 4530.75 (pool 4530.25),confirmed bullish @ 4547.00,bullish net 21.25 / 3 bars (exhausted),bullish touched 4531.25–4533.00 CE 4532.12 [1H],1H 4514.25–4547.00 (down),4530.62,premium,0.0000,0.9084,0.5179,0.8183,0.7131,weak location — entry on the wrong premium/discount side (pd_location=0.0),,,,,,,,,,,,,
MNQ:MNQZ21:1H:2021-11-29T15:00:00-05:00,MNQ,MNQZ21,1H,2021-11-29T15:00:00-05:00,db80c31:fdecea0d00e4,LONG,SETUP:FVG5057U@15m,16211.62,16178.75,16599.00,11.78,bullish sweep of 16192.50,raid→16178.75 close 16199.25 (pool 16192.50),confirmed bullish @ 16252.75,bullish net 49.25 / 3 bars (exhausted),bullish touched 16209.00–16214.25 CE 16211.62 [15m],1H 16166.75–16252.75 (down),16209.75,premium,0.0000,0.9564,0.8425,0.9279,0.6979,weak location — entry on the wrong premium/discount side (pd_location=0.0),,,,,,,,,,,,,
MNQ:MNQH21:1H:2021-02-25T07:00:00-05:00,MNQ,MNQH21,1H,2021-02-25T07:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG234D,13313.12,13347.00,12958.00,10.48,bearish sweep of 13339.00,raid→13347.00 close 13337.75 (pool 13339.00),confirmed bearish @ 13274.75,bearish net 161.25 / 4 bars (exhausted),bearish unfilled 13302.00–13324.25 CE 13313.12 [1H],1H 13274.75–13354.25 (up),13314.50,discount,0.0000,0.9654,0.8967,0.8805,0.7000,weak location — entry on the wrong premium/discount side (pd_location=0.0),,,,,,,,,,,,,
MES:MESM22:1H:2022-05-18T12:00:00-04:00,MES,MESM22,1H,2022-05-18T12:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG222D,4089.25,4095.00,3950.75,24.09,bearish sweep of 4093.50,raid→4095.00 close 4090.25 (pool 4093.50),confirmed bearish @ 4029.75,bearish net 21.75 / 3 bars (exhausted),bearish unfilled 4089.00–4089.50 CE 4089.25 [1H],1H 4064.25–4081.00 (up),4072.62,premium,1.0000,0.0000,0.3296,0.8716,0.9597,entry far from CE (deep into the imbalance) (ce_distance=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.3296),,,,,,,,,,,,,
MES:MESH22:1H:2022-01-05T14:00:00-05:00,MES,MESH22,1H,2022-01-05T14:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG237D,4770.62,4788.50,4713.25,3.21,bearish sweep of 4787.75,raid→4788.50 close 4781.50 (pool 4787.75),confirmed bearish @ 4770.00,bearish net 69.25 / 4 bars,bearish touched 4769.75–4771.50 CE 4770.62 [1H],1H 4770.00–4788.50 (up),4779.25,discount,0.0000,0.0676,1.0000,0.6824,0.6308,weak location — entry on the wrong premium/discount side (pd_location=0.0) | entry far from CE (deep into the imbalance) (ce_distance=0.0676),,,,,,,,,,,,,
