scene_id,symbol,contract,timeframe,timestamp,engine_version,engine_direction,candidate_id,entry,stop,target,RR,manipulation_summary,sweep_information,mss_state,displacement_summary,fvg_summary,dealing_range,ce_location,premium_discount_state,pd_location,ce_distance,rr_realism,confirmation,fvg_location,execution_reasons,decision,engine,wrong_manipulation,wrong_sweep,wrong_mss,wrong_fvg,wrong_dealing_range_context,bad_location,insufficient_confirmation,execute_live,reason_for_pass,confidence,note
MNQ:MNQZ23:1H:2023-10-26T09:00:00-04:00,MNQ,MNQZ23,1H,2023-10-26T09:00:00-04:00,db80c31:fdecea0d00e4,LONG,SETUP:FVG234U,14311.12,14297.5,14790.25,35.17,bullish sweep of 14302.25,raid→14297.50 close 14309.00 (pool 14302.25),confirmed bullish @ 14330.50,bullish net 69.75 / 4 bars (exhausted),bullish touched 14310.75–14311.50 CE 14311.12 [1H],1H 14257.25–14330.50 (down),14293.88,premium,0.0,0.529,0.0,0.8519,0.6405,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.0),NO-TRADE,reject,False,False,False,False,False,True,False,no,"premium_discount,rr_misleading",4,"Execution pass rejected: premium_discount, rr_misleading"
MNQ:MNQH24:1H:2024-02-21T16:00:00-05:00,MNQ,MNQH24,1H,2024-02-21T16:00:00-05:00,db80c31:fdecea0d00e4,LONG,SETUP:FVG5084U@15m,17454.5,17448.5,17724.0,44.92,bullish sweep of 17452.50,raid→17448.50 close 17473.25 (pool 17452.50),confirmed bullish @ 17586.25,bullish net 77.25 / 1 bars (exhausted),bullish touched 17424.25–17484.75 CE 17454.50 [15m],1H 17373.00–17525.75 (down),17449.38,premium,0.0,0.9329,0.0,0.8209,0.42,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.0) | low-quality entry FVG (fvg_location=0.42),NO-TRADE,reject,False,False,False,False,False,True,False,no,"premium_discount,rr_misleading,other",4,"Execution pass rejected: premium_discount, rr_misleading, other"
MNQ:MNQM21:1H:2021-04-14T11:00:00-04:00,MNQ,MNQM21,1H,2021-04-14T11:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG2460D@15m,13978.62,13987.0,13772.5,24.61,bearish sweep of 13985.75,raid→13987.00 close 13982.75 (pool 13985.75),confirmed bearish @ 13958.25,bearish net 26.00 / 1 bars (exhausted),bearish unfilled 13975.00–13982.25 CE 13978.62 [15m],1H 13958.25–14029.00 (up),13993.62,discount,0.0,0.576,0.3079,0.8141,0.8951,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.3079),NO-TRADE,reject,False,False,False,False,False,True,False,no,"premium_discount,rr_misleading",4,"Execution pass rejected: premium_discount, rr_misleading"
MES:MESM22:1H:2022-04-26T04:00:00-04:00,MES,MESM22,1H,2022-04-26T04:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG237D,4293.75,4297.75,4195.25,24.62,bearish sweep of 4296.50,raid→4297.75 close 4292.50 (pool 4296.50),confirmed bearish @ 4287.50,bearish net 29.75 / 6 bars (exhausted),bearish unfilled 4293.00–4294.50 CE 4293.75 [1H],1H 4287.50–4303.75 (up),4295.62,discount,0.0,0.7692,0.3075,0.8615,0.9154,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.3075),NO-TRADE,reject,False,False,False,False,False,True,False,no,"premium_discount,rr_misleading",4,"Execution pass rejected: premium_discount, rr_misleading"
MNQ:MNQZ22:1H:2022-11-17T09:00:00-05:00,MNQ,MNQZ22,1H,2022-11-17T09:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG233D,11780.75,11822.5,10809.0,23.28,bearish sweep of 11805.00,raid→11822.50 close 11802.75 (pool 11805.00),confirmed bearish @ 11743.00,bearish net 294.50 / 7 bars,bearish unfilled 11778.75–11782.75 CE 11780.75 [1H],1H 11743.00–11828.25 (up),11785.62,discount,0.0,0.8856,0.3633,0.8142,0.9938,weak location — entry on the wrong premium/discount side (pd_location=0.0) | RR realism poor — likely inflated by a distant liquidity target (rr_realism=0.3633),NO-TRADE,reject,False,False,False,False,False,True,False,no,"premium_discount,rr_misleading",4,"Execution pass rejected: premium_discount, rr_misleading"
MES:MESZ20:1H:2020-10-19T13:00:00-04:00,MES,MESZ20,1H,2020-10-19T13:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG2583D@15m,3484.5,3488.0,3431.5,15.14,bearish sweep of 3487.75,raid→3488.00 close 3486.25 (pool 3487.75),confirmed bearish @ 3461.25,bearish net 5.00 / 1 bars (exhausted),bearish unfilled 3484.00–3485.00 CE 3484.50 [15m],1H 3483.00–3496.50 (up),3489.75,discount,0.0,0.2222,0.7025,0.8148,0.9519,weak location — entry on the wrong premium/discount side (pd_location=0.0) | entry far from CE (deep into the imbalance) (ce_distance=0.2222),SHORT,accept,False,False,False,False,False,False,False,yes,,5,Execution quality acceptable
MES:MESH21:1H:2021-01-08T05:00:00-05:00,MES,MESH21,1H,2021-01-08T05:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG237D,3809.5,3815.5,3747.25,10.38,bearish sweep of 3813.50,raid→3815.50 close 3812.50 (pool 3813.50),confirmed bearish @ 3806.75,bearish net 17.25 / 4 bars (exhausted),bearish touched 3807.50–3811.50 CE 3809.50 [1H],1H 3806.75–3817.75 (up),3812.25,discount,0.0,0.5,0.9008,0.9455,0.42,weak location — entry on the wrong premium/discount side (pd_location=0.0) | low-quality entry FVG (fvg_location=0.42),NO-TRADE,reject,False,False,False,False,False,True,False,no,"premium_discount,other",4,"Execution pass rejected: premium_discount, other"
MES:MESZ20:1H:2020-09-30T00:00:00-04:00,MES,MESZ20,1H,2020-09-30T00:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG237D,3333.5,3340.5,3206.25,18.18,bearish sweep of 3339.50,raid→3340.50 close 3334.75 (pool 3339.50),confirmed bearish @ 3324.00,bearish net 37.25 / 4 bars,bearish unfilled 3333.25–3333.75 CE 3333.50 [1H],1H 3324.00–3358.00 (up),3341.0,discount,0.0,0.5588,0.5758,0.6735,0.9294,weak location — entry on the wrong premium/discount side (pd_location=0.0),NO-TRADE,reject,False,False,False,False,False,True,True,no,"premium_discount,insufficient_confirmation",4,"Execution pass rejected: premium_discount, insufficient_confirmation"
MNQ:MNQH22:1H:2022-01-11T10:00:00-05:00,MNQ,MNQH22,1H,2022-01-11T10:00:00-05:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG237D,15621.0,15646.5,15152.5,18.37,bearish sweep of 15642.50,raid→15646.50 close 15611.25 (pool 15642.50),confirmed bearish @ 15564.25,bearish net 172.00 / 6 bars (exhausted),bearish touched 15599.50–15642.50 CE 15621.00 [1H],1H 15564.25–15736.50 (up),15650.38,discount,0.0,0.6589,0.5679,0.8186,0.42,weak location — entry on the wrong premium/discount side (pd_location=0.0) | low-quality entry FVG (fvg_location=0.42),NO-TRADE,reject,False,False,False,False,False,True,False,no,"premium_discount,other",4,"Execution pass rejected: premium_discount, other"
MNQ:MNQZ22:1H:2022-10-07T12:00:00-04:00,MNQ,MNQZ22,1H,2022-10-07T12:00:00-04:00,db80c31:fdecea0d00e4,SHORT,SETUP:FVG1776D@15m,11435.62,11577.0,10943.5,3.48,bearish sweep of 11563.75,raid→11577.00 close 11353.00 (pool 11563.75),confirmed bearish @ 11453.00,bearish net 455.75 / 4 bars,bearish unfilled 11373.25–11498.00 CE 11435.62 [15m],1H 11453.00–11577.00 (up),11515.0,discount,0.0,0.0,1.0,0.7355,0.7,weak location — entry on the wrong premium/discount side (pd_location=0.0) | entry far from CE (deep into the imbalance) (ce_distance=0.0),NO-TRADE,reject,False,False,False,False,False,True,False,no,"premium_discount,too_far_from_ce",4,"Execution pass rejected: premium_discount, too_far_from_ce"
